1     J0725-1635    mld+96     0.4243114031834         11  hlk+04     0.33       4  hfs+04     2.778  pks70,pksmb,gbncc
2     J0729-1448    mhl+02     0.251658714181          13  mhl+02     0.83       6  jvk+18     2.681  pksmb,gbncc
3     B0727-18      mlt+78     0.51016034483            3  hlk+04     1.9        5  jvk+18     2.000  mol2,pks70,pksmb,pkshl
4     J0733-2345    lfl+06     1.79624970117           10  lfl+06     0.07       0  lfl+06     4.122  pksmb,gbncc
5     J0737-2202    mhl+02     0.320366370454           5  mhl+02     0.47       9  mhl+02     3.059  pksmb,gbncc

6     B0740-28      fss73      0.166762291572          20  hlk+04     26         2  jvk+18     2.000  misc,mol2,pks70,pksmb,pkshl,htru_pks
7     B0818-41      mlt+78     0.5454455601             3  lbs+20     5          1  jvk+18     0.571  mol2,pks70,pksmb,pkshl,htru_pks
8     B0826-34      mlt+78     1.84891880365           11  hlk+04     0.25       4  hfs+04     0.354  mol2,pks70,pksmb,pkshl,gbncc
9     J0831-4406    kbm+03     0.311673518473          11  kbm+03     0.43       5  kbm+03     5.883  pksmb,htru_pks
10    J0834-4159    kbm+03     0.1211177592649         18  psj+19     0.28       2  jvk+18     5.508  pksmb,htru_pks

11    J0835-3707    mlc+01     0.541404373627          15  mlc+01     0.28       4  mlc+01     0.555  pksmb,pkshl,htru_pks,gbncc
12    B0833-45      lvm68      0.089328385024           4  dml02      1050      60  jvk+18     0.280  mol1,mol2,pks70,pksmb,htru_pks
13    B0835-41      lvw68      0.7516254225474         12  jbv+19     35         9  jvk+18     1.500  mol1,mol2,pks70,pksmb,pkshl,htru_pks
14    J0838-3947    mlc+01     1.7039457055             9  mlc+01     0.11       2  mlc+01     5.095  pksmb
15    B0840-48      mlt+78     0.6443536203             4  lbs+20     1.07       1  jsd+21     3.103  mol2,pks70,pksmb,htru_pks,ghrss

16    J0843-5022    ebvb01     0.2089556931527         14  ebvb01     0.7        1  jk18       1.573  pkssw,pksmb,htru_pks,ghrss
17    B0844-35      mlt+78     1.116098408825          10  jbv+19     5          1  jvk+18     0.535  mol2,pks70,pkshl,pksmb,htru_pks,gbncc
18    J0847-4316    mll+06     5.9774927370             7  mlk+09     *          0  *          6.547  pksmb
19    J0855-4644    kbm+03     0.0646861308252          4  kbm+03     0.28       2  jvk+18     5.638  pksmb,htru_pks
20    J0855-4658    kbm+03     0.57507238258            4  kbm+03     0.23       3  kbm+03     13.740 pksmb,htru_pks

21    J0857-4424    lml+98     0.32678622125            5  psj+19     0.98       5  jvk+18     2.833  pks70,pksmb,htru_pks
22    J0901-4624    mlc+01     0.441995130786          14  mlc+01     0.51       3  jvk+18     3.032  pksmb
23    B0903-42      mlt+78     0.96517329497            3  lbs+20     0.60       7  hfs+04     0.675  mol2,pks70,pksmb
24    J0905-4536    mld+96     0.9882805974             2  dsb+98     1.1        2  jk18       2.912  pks70,pksmb,htru_pks
